ug 20 10:29:02 2020    call_gsas.prof

         27734897 function calls (27720644 primitive calls) in 188.165 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 :0(__subclasses__)
       32    0.000    0.000    0.000    0.000 :0(add)
       16    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/build/../conda_base/lib/python3.6/_weakrefset.py:52(_commit_removals)
       20    0.000    0.000    0.000    0.000 :0(bit_length)
       16    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/build/../conda_base/lib/python3.6/_weakrefset.py:16(__init__)
       30    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2333(_all_dispatcher)
       16    0.000    0.000    0.000    0.000 :0(remove)
        7    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:38(<lambda>)
        2    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/typing.py:1025(_abc_negative_cache)
       12    0.000    0.000    0.000    0.000 :0(sqrt)
       10    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/build/../conda_base/lib/python3.6/_collections_abc.py:392(__subclasshook__)
        2    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/typing.py:1039(_abc_negative_cache_version)
       23    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:736(getDmax)
       17    0.000    0.000    0.000    0.000 :0(_getframe)
        1    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/scipy/linalg/blas.py:252(find_best_blas_type)
       16    0.000    0.000    0.000    0.000 :0(startswith)
       10    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/_ufunc_config.py:429(__init__)
        1    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:73(sec2HMS)
       10    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/numeric.py:2117(_allclose_dispatcher)
       10    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/numeric.py:2193(_isclose_dispatcher)
        7    0.000    0.000    0.000    0.000 :0(acos)
       10    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/multiarray.py:634(result_type)
        2    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/typing.py:889(__extrahook__)
        1    0.000    0.000    0.000    0.000 :0(ceil)
        1    0.000    0.000    0.000    0.000 :0(sorted)
        4    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/build/../conda_base/lib/python3.6/_collections_abc.py:302(__subclasshook__)
        0    0.000             0.000          profile:0(profiler)


